id,text
1,"isi bensin motor. lupa brp, kira2 20rb"
2,"famima ksk 16000, bento 18rb"
3,"lupa nyatet, kemarin makan ramen 45rb"
4,Jajan kopi 20k
5,Beli kuota internet 50k
6,Ayam penyet 15k
7,service motor 663.000
8,belanja di alfa Rp 268.664
9,bayar hutang makan malam kemaren 7.500 + 7.000 + 5.000
10,Nasi 9.8 + akua 1.3 + onigiri 4.9 = 16 ringgit x 4.000 = 64.000
11,chagee + grab 78rb
12,skincare 100k
13,bayar zakat lewat blu tgl 9 des 250k
14,"Makan siang 20k, kopi 15k"
15,"Kos/Kontrakan: 1,5 jt dapet kamar + tembok + kipas = syukur"
16,Transport: 400k
17,Orang Tua: 800k
18,Kuota & Langganan: 250k
19,Skincare & Kebutuhan: 350k
20,Ayam Fillet : 45.000 (1ekor)
21,Bumnu dapur : 50.000
22,Beras : 70.000 (5KG) x 3 Minggu = 210.000
23,Wifi+Paket Data : 250.000
24,Listrik : 50.000 x 3 minfgu = 150.000
25,Biaya aplikasi univ (sebelum pengajuan reimburse ke LPDP) +- 2-3jt
26,Biaya tes bahasa (3.5jt IELTS/TOEFL iBT)
27,Biaya tes GRE/GMAT 3.5jt
28,"Transport Whoosh PP ke Jakarta/ Bandung 350,000 x 2"
29,top up flazz bca 50ribu
30,warteg makan siang 18 ribu
31,membership gym bln nov Rp.450.000
32,topup shopeepay 100k
33,dimsum+piscok = 15rb + 7rb
34,"parfum indomaret 34,500"
35,perpanjang stnk mobil 500 rb
36,e-money Rp 300.000
37,Token listrik 300rb
38,Byr parkir 3000
39,Gocar Rumah - Kokas Rp 75.000
40,Biaya admin bank 5rb
41,Beli tiket konser 1.000.000
42,Beli kuota bulanan 200 rb
43,Beli kopi Janji Manis 50.000
44,Ayam geprek 18.000
45,Indomie: 3.500
46,Bayar Kost Desember 1jt 350rb
47,nabung 5rts ribu
48,HTM event 275.000
49,pompa akuarium 40k
50,jaket uniqlo 450rb
51,"nonton di XXI 35,000"
52,"Body Care (beli scrub dan lip balm, 6 Jan): Rp. 80.000"
53,"Transport (gojek, 6 Jan): Rp. 18.000"
54,"Makanan (beli jajan di sunmor, 12 Jan) : Rp 35.000"
55,"Transport (grab, 12 Jan): Rp. 23.000"
56,"Pakaian (beli manset+celana, 13 Jan): Rp. 185.000"
57,"Tgl 10 jajan habis 15k (beli ayam bakar, risol, roti)"
58,Cicilan rumah + asuransi Rp.2.600.000
59,"Air, listrilk Rp.300.000"
60,Iuran bulanan komplek Rp.100.000
61,kado untuk teman 150rb
62,Investasi reksa dana Rp 1.450.000
63,"Modal usaha 2,5jt"
64,Furniture rumah 3jt
65,laundry 50.000
66,Arisan 4 minggu 100X4 = 400rb
67,"Dana darurat 200,000"
68,Warteg 40
69,tadi beli lele 16.000
70,"Langganan (Netflix, Spotify, dll): Rp 64.000"
71,bayar les jepang 750rb
72,biaya klinik 153000
73,sedekah 100ribu
74,parkir doang 5rb kesel
75,sarapan seadanya 10 ribu
76,patungan makan bareng temen 33rb
77,makan siang kebab es teh 32 ribuan
78,mie aceh tumis telor malem2 24k
79,"bayar tol, lupa nominalnya"
80,Thr 1jt
81,"gue abis beli teh tarik, bayar enam tiga ribu."
82,"saya pesen martabak barusan, harganya delapan puluh lima ribu."
83,Barusan aku ngemil martabak seharga lima puluh ribu.
84,"tadi gue abis ngemil soto, bayar empat delapan ribu."
85,"tadi pesen bakso barusan, harganya dua puluh tujuh ribu."
86,"aku tadi pesen nasi goreng barusan, harganya lima delapan ribu."
87,"gue pesen ayam geprek barusan, harganya tiga puluh dua ribu."
88,"gue barusan abis makan roti bakar, bayar delapan tiga ribu."
89,"Tadi gue pesan roti bakar, harganya sembilan dua ribu."
90,Tadi aku beli bakso seharga tujuh puluh lima ribu.
91,"gue barusan jajan ayam geprek tadi, harganya sembilan puluh tiga ribu."
92,"saya jajan ayam geprek tadi, harganya dua belas ribu."
93,"Tadi gue jajan jus mangga, harganya tiga delapan ribu."
94,"aku tadi makan jus mangga, harganya tiga tiga ribu."
95,"tadi barusan jajan cilok, bayar delapan sembilan ribu."
96,"aku tadi makan soto tadi siang, harga enam sembilan ribu."
97,"Tadi gue ngopi soto, harganya delapan lima ribu."
98,"barusan pesen ayam geprek barusan, harganya enam puluh ribu."
99,Barusan saya jajan roti bakar seharga lima puluh ribu.
100,"gue barusan makan bubur tadi siang, harga satu tujuh ribu."
101,"gue barusan jajan soto, bayar tujuh satu ribu."
102,Tadi barusan beli pisang goreng seharga sembilan lima ribu.
103,"Tadi gue makan es krim, harganya delapan belas ribu."
104,"tadi tadi beli mie ayam, harganya enam puluh enam ribu."
105,"aku tadi tadi ngopi pisang goreng, harganya enam puluh ribu."
106,"tadi gue tadi beli es krim, harganya tujuh puluh sembilan ribu."
107,"gue barusan tadi beli mie ayam, harganya lima puluh dua ribu."
108,"aku tadi pesen ayam geprek barusan, harganya sembilan enam ribu."
109,Tadi gue beli pisang goreng seharga sembilan puluh satu ribu.
110,"tadi gue makan ayam geprek tadi siang, harga dua lima ribu."
